Feature 	 Val_totalreads 	 Coq_totalreads
PiuraChilensis_v1_contig_12613 	 2 	 6
PiuraChilensis_v1_contig_12614 	 4 	 4
PiuraChilensis_v1_contig_12615 	 4 	 1
PiuraChilensis_v1_contig_12616 	 4 	 3
PiuraChilensis_v1_contig_12617 	 7 	 6
PiuraChilensis_v1_contig_12618 	 5 	 3
PiuraChilensis_v1_contig_12619 	 5 	 1
PiuraChilensis_v1_contig_1262 	 36 	 210
PiuraChilensis_v1_contig_12620 	 4 	 0
PiuraChilensis_v1_contig_12621 	 4 	 6
PiuraChilensis_v1_contig_12622 	 3 	 8
PiuraChilensis_v1_contig_12623 	 6 	 2
PiuraChilensis_v1_contig_12624 	 3 	 0
PiuraChilensis_v1_contig_12625 	 1 	 5
PiuraChilensis_v1_contig_12626 	 1 	 10
PiuraChilensis_v1_contig_12627 	 8 	 9
PiuraChilensis_v1_contig_12628 	 26 	 3
PiuraChilensis_v1_contig_12629 	 3 	 6
PiuraChilensis_v1_contig_1263 	 48 	 55
PiuraChilensis_v1_contig_12630 	 0 	 0
PiuraChilensis_v1_contig_12631 	 2 	 2
PiuraChilensis_v1_contig_12632 	 8 	 8
PiuraChilensis_v1_contig_12633 	 1 	 10
PiuraChilensis_v1_contig_12634 	 6 	 5
PiuraChilensis_v1_contig_12635 	 0 	 4
PiuraChilensis_v1_contig_12636 	 4 	 6
PiuraChilensis_v1_contig_12637 	 1 	 7
PiuraChilensis_v1_contig_12638 	 10 	 8
PiuraChilensis_v1_contig_12639 	 7 	 3
PiuraChilensis_v1_contig_1264 	 14 	 22
PiuraChilensis_v1_contig_12640 	 4 	 3
PiuraChilensis_v1_contig_12641 	 7 	 11
PiuraChilensis_v1_contig_12642 	 5 	 2
PiuraChilensis_v1_contig_12643 	 2 	 3
PiuraChilensis_v1_contig_12644 	 8 	 6
PiuraChilensis_v1_contig_12645 	 5 	 5
PiuraChilensis_v1_contig_12646 	 9 	 8
PiuraChilensis_v1_contig_12647 	 9 	 1
PiuraChilensis_v1_contig_12648 	 1 	 4
PiuraChilensis_v1_contig_12649 	 1 	 3
PiuraChilensis_v1_contig_1265 	 12 	 64
PiuraChilensis_v1_contig_12650 	 2 	 4
PiuraChilensis_v1_contig_12651 	 6 	 2
PiuraChilensis_v1_contig_12652 	 9 	 6
PiuraChilensis_v1_contig_12653 	 4 	 1
PiuraChilensis_v1_contig_12654 	 16 	 3
PiuraChilensis_v1_contig_12655 	 3 	 3
PiuraChilensis_v1_contig_12656 	 17 	 3
PiuraChilensis_v1_contig_12657 	 4 	 2
PiuraChilensis_v1_contig_12658 	 34 	 5
PiuraChilensis_v1_contig_12659 	 15 	 4
PiuraChilensis_v1_contig_1266 	 15 	 12
PiuraChilensis_v1_contig_12660 	 16 	 5
PiuraChilensis_v1_contig_12661 	 11 	 8
PiuraChilensis_v1_contig_12662 	 8 	 1
PiuraChilensis_v1_contig_12663 	 6 	 4
PiuraChilensis_v1_contig_12664 	 4 	 2
PiuraChilensis_v1_contig_12665 	 2 	 5
PiuraChilensis_v1_contig_12666 	 2 	 2
PiuraChilensis_v1_contig_12667 	 1 	 5
PiuraChilensis_v1_contig_12668 	 1 	 2
PiuraChilensis_v1_contig_12669 	 0 	 9
PiuraChilensis_v1_contig_1267 	 62 	 60
PiuraChilensis_v1_contig_12670 	 10 	 4
PiuraChilensis_v1_contig_12671 	 25 	 5
PiuraChilensis_v1_contig_12672 	 1 	 3
PiuraChilensis_v1_contig_12673 	 2 	 0
PiuraChilensis_v1_contig_12674 	 10 	 8
PiuraChilensis_v1_contig_12675 	 6 	 11
PiuraChilensis_v1_contig_12676 	 11 	 3
PiuraChilensis_v1_contig_12677 	 3 	 5
PiuraChilensis_v1_contig_12678 	 1 	 4
PiuraChilensis_v1_contig_12679 	 3 	 5
PiuraChilensis_v1_contig_1268 	 36 	 54
PiuraChilensis_v1_contig_12680 	 4 	 7
PiuraChilensis_v1_contig_12681 	 2 	 1
PiuraChilensis_v1_contig_12682 	 1 	 5
PiuraChilensis_v1_contig_12683 	 2 	 13
PiuraChilensis_v1_contig_12684 	 2 	 3
PiuraChilensis_v1_contig_12685 	 1 	 6
PiuraChilensis_v1_contig_12686 	 2 	 5
PiuraChilensis_v1_contig_12687 	 8 	 4
PiuraChilensis_v1_contig_12688 	 9 	 8
PiuraChilensis_v1_contig_12689 	 6 	 6
PiuraChilensis_v1_contig_1269 	 26 	 53
PiuraChilensis_v1_contig_12690 	 4 	 6
PiuraChilensis_v1_contig_12691 	 2 	 1
PiuraChilensis_v1_contig_12692 	 3 	 0
PiuraChilensis_v1_contig_12693 	 5 	 0
PiuraChilensis_v1_contig_12694 	 5 	 3
PiuraChilensis_v1_contig_12695 	 2 	 5
PiuraChilensis_v1_contig_12696 	 5 	 2
PiuraChilensis_v1_contig_12697 	 8 	 2
PiuraChilensis_v1_contig_12698 	 1 	 5
PiuraChilensis_v1_contig_12699 	 0 	 8
PiuraChilensis_v1_contig_127 	 17 	 29
PiuraChilensis_v1_contig_1270 	 94 	 119
PiuraChilensis_v1_contig_12700 	 0 	 5
PiuraChilensis_v1_contig_12701 	 6 	 5
PiuraChilensis_v1_contig_12702 	 15 	 7
PiuraChilensis_v1_contig_12703 	 3 	 5
PiuraChilensis_v1_contig_12704 	 7 	 2
PiuraChilensis_v1_contig_12705 	 1 	 4
PiuraChilensis_v1_contig_12706 	 4 	 1
PiuraChilensis_v1_contig_12707 	 5 	 1
PiuraChilensis_v1_contig_12708 	 1 	 6
PiuraChilensis_v1_contig_12709 	 3 	 3
PiuraChilensis_v1_contig_1271 	 31 	 25
PiuraChilensis_v1_contig_12710 	 11 	 9
PiuraChilensis_v1_contig_12711 	 3 	 2
PiuraChilensis_v1_contig_12712 	 0 	 6
PiuraChilensis_v1_contig_12713 	 3 	 12
PiuraChilensis_v1_contig_12714 	 1 	 6
PiuraChilensis_v1_contig_12715 	 1 	 2
PiuraChilensis_v1_contig_12716 	 9 	 2
PiuraChilensis_v1_contig_12717 	 4 	 3
PiuraChilensis_v1_contig_12718 	 10 	 5
PiuraChilensis_v1_contig_12719 	 15 	 8
PiuraChilensis_v1_contig_1272 	 0 	 5
PiuraChilensis_v1_contig_12720 	 3 	 4
PiuraChilensis_v1_contig_12721 	 0 	 6
PiuraChilensis_v1_contig_12722 	 0 	 5
PiuraChilensis_v1_contig_12723 	 10 	 6
PiuraChilensis_v1_contig_12724 	 6 	 3
PiuraChilensis_v1_contig_12725 	 1 	 4
PiuraChilensis_v1_contig_12726 	 35 	 15
PiuraChilensis_v1_contig_12727 	 3 	 3
PiuraChilensis_v1_contig_12728 	 25 	 13
PiuraChilensis_v1_contig_12729 	 9 	 5
PiuraChilensis_v1_contig_1273 	 7 	 21
PiuraChilensis_v1_contig_12730 	 2 	 1
PiuraChilensis_v1_contig_12731 	 3 	 2
PiuraChilensis_v1_contig_12732 	 2 	 2
PiuraChilensis_v1_contig_12733 	 3 	 8
PiuraChilensis_v1_contig_12734 	 5 	 1
PiuraChilensis_v1_contig_12735 	 3 	 5
PiuraChilensis_v1_contig_12736 	 9 	 8
PiuraChilensis_v1_contig_12737 	 13 	 1
PiuraChilensis_v1_contig_12738 	 1 	 2
PiuraChilensis_v1_contig_12739 	 3 	 3
PiuraChilensis_v1_contig_1274 	 168 	 221
PiuraChilensis_v1_contig_12740 	 3 	 2
PiuraChilensis_v1_contig_12741 	 11 	 6
PiuraChilensis_v1_contig_12742 	 4 	 2
PiuraChilensis_v1_contig_12743 	 0 	 3
PiuraChilensis_v1_contig_12744 	 3 	 6
PiuraChilensis_v1_contig_12745 	 2 	 5
PiuraChilensis_v1_contig_12746 	 2 	 3
PiuraChilensis_v1_contig_12747 	 6 	 2
PiuraChilensis_v1_contig_12748 	 5 	 5
PiuraChilensis_v1_contig_12749 	 3 	 6
PiuraChilensis_v1_contig_1275 	 6 	 13
PiuraChilensis_v1_contig_12750 	 8 	 9
PiuraChilensis_v1_contig_12751 	 2 	 4
PiuraChilensis_v1_contig_12752 	 7 	 1
PiuraChilensis_v1_contig_12753 	 5 	 1
PiuraChilensis_v1_contig_12754 	 6 	 4
PiuraChilensis_v1_contig_12755 	 3 	 5
PiuraChilensis_v1_contig_12756 	 14 	 10
PiuraChilensis_v1_contig_12757 	 2 	 1
PiuraChilensis_v1_contig_12758 	 5 	 2
PiuraChilensis_v1_contig_12759 	 0 	 4
PiuraChilensis_v1_contig_1276 	 5 	 10
PiuraChilensis_v1_contig_12760 	 0 	 3
PiuraChilensis_v1_contig_12761 	 3 	 3
PiuraChilensis_v1_contig_12762 	 2 	 4
PiuraChilensis_v1_contig_12763 	 3 	 0
PiuraChilensis_v1_contig_12764 	 23 	 8
PiuraChilensis_v1_contig_12765 	 5 	 8
PiuraChilensis_v1_contig_12766 	 0 	 1
PiuraChilensis_v1_contig_12767 	 4 	 2
PiuraChilensis_v1_contig_12768 	 3 	 2
PiuraChilensis_v1_contig_12769 	 6 	 9
PiuraChilensis_v1_contig_1277 	 4 	 13
PiuraChilensis_v1_contig_12770 	 0 	 1
PiuraChilensis_v1_contig_12771 	 4 	 1
PiuraChilensis_v1_contig_12772 	 2 	 4
PiuraChilensis_v1_contig_12773 	 3 	 2
PiuraChilensis_v1_contig_12774 	 4 	 4
PiuraChilensis_v1_contig_12775 	 8 	 5
PiuraChilensis_v1_contig_12776 	 10 	 8
PiuraChilensis_v1_contig_12777 	 10 	 8
PiuraChilensis_v1_contig_12778 	 2 	 7
PiuraChilensis_v1_contig_12779 	 1 	 4
PiuraChilensis_v1_contig_1278 	 24 	 22
PiuraChilensis_v1_contig_12780 	 3 	 4
PiuraChilensis_v1_contig_12781 	 16 	 8
PiuraChilensis_v1_contig_12782 	 5 	 1
PiuraChilensis_v1_contig_12783 	 4 	 3
PiuraChilensis_v1_contig_12784 	 1 	 2
PiuraChilensis_v1_contig_12785 	 4 	 3
PiuraChilensis_v1_contig_12786 	 10 	 7
PiuraChilensis_v1_contig_12787 	 6 	 7
PiuraChilensis_v1_contig_12788 	 5 	 3
PiuraChilensis_v1_contig_12789 	 5 	 2
PiuraChilensis_v1_contig_1279 	 146 	 134
PiuraChilensis_v1_contig_12790 	 2 	 6
PiuraChilensis_v1_contig_12791 	 4 	 3
PiuraChilensis_v1_contig_12792 	 11 	 5
PiuraChilensis_v1_contig_12793 	 3 	 9
PiuraChilensis_v1_contig_12794 	 9 	 5
PiuraChilensis_v1_contig_12795 	 0 	 4
PiuraChilensis_v1_contig_12796 	 5 	 6
PiuraChilensis_v1_contig_12797 	 5 	 5
PiuraChilensis_v1_contig_12798 	 2 	 4
PiuraChilensis_v1_contig_12799 	 24 	 8
PiuraChilensis_v1_contig_128 	 97 	 124
PiuraChilensis_v1_contig_1280 	 154 	 158
PiuraChilensis_v1_contig_12800 	 2 	 4
PiuraChilensis_v1_contig_12801 	 1 	 2
PiuraChilensis_v1_contig_12802 	 2 	 3
PiuraChilensis_v1_contig_12803 	 4 	 4
PiuraChilensis_v1_contig_12804 	 11 	 16
PiuraChilensis_v1_contig_12805 	 3 	 5
PiuraChilensis_v1_contig_12806 	 1 	 6
PiuraChilensis_v1_contig_12807 	 6 	 3
PiuraChilensis_v1_contig_12808 	 27 	 6
PiuraChilensis_v1_contig_12809 	 0 	 0
PiuraChilensis_v1_contig_1281 	 21 	 12
PiuraChilensis_v1_contig_12810 	 9 	 7
PiuraChilensis_v1_contig_12811 	 5 	 7
PiuraChilensis_v1_contig_12812 	 5 	 12
PiuraChilensis_v1_contig_12813 	 1 	 1
PiuraChilensis_v1_contig_12814 	 1 	 9
PiuraChilensis_v1_contig_12815 	 18 	 9
PiuraChilensis_v1_contig_12816 	 1 	 4
PiuraChilensis_v1_contig_12817 	 16 	 3
PiuraChilensis_v1_contig_12818 	 0 	 2
PiuraChilensis_v1_contig_12819 	 2 	 13
PiuraChilensis_v1_contig_1282 	 44 	 33
PiuraChilensis_v1_contig_12820 	 5 	 4
PiuraChilensis_v1_contig_12821 	 4 	 1
PiuraChilensis_v1_contig_12822 	 4 	 5
PiuraChilensis_v1_contig_12823 	 4 	 6
PiuraChilensis_v1_contig_12824 	 26 	 10
PiuraChilensis_v1_contig_12825 	 4 	 6
PiuraChilensis_v1_contig_12826 	 7 	 4
PiuraChilensis_v1_contig_12827 	 7 	 5
PiuraChilensis_v1_contig_12828 	 3 	 1
PiuraChilensis_v1_contig_12829 	 2 	 2
PiuraChilensis_v1_contig_1283 	 9 	 26
PiuraChilensis_v1_contig_12830 	 8 	 2
PiuraChilensis_v1_contig_12831 	 3 	 2
PiuraChilensis_v1_contig_12832 	 2 	 3
PiuraChilensis_v1_contig_12833 	 11 	 4
PiuraChilensis_v1_contig_12834 	 1 	 5
PiuraChilensis_v1_contig_12835 	 5 	 4
PiuraChilensis_v1_contig_12836 	 3 	 6
PiuraChilensis_v1_contig_12837 	 4 	 2
PiuraChilensis_v1_contig_12838 	 5 	 1
PiuraChilensis_v1_contig_12839 	 0 	 2
PiuraChilensis_v1_contig_1284 	 70 	 225
PiuraChilensis_v1_contig_12840 	 1 	 8
PiuraChilensis_v1_contig_12841 	 19 	 9
PiuraChilensis_v1_contig_12842 	 3 	 1
PiuraChilensis_v1_contig_12843 	 5 	 4
PiuraChilensis_v1_contig_12844 	 4 	 8
PiuraChilensis_v1_contig_12845 	 7 	 4
PiuraChilensis_v1_contig_12846 	 3 	 1
PiuraChilensis_v1_contig_12847 	 7 	 0
PiuraChilensis_v1_contig_12848 	 6 	 10
PiuraChilensis_v1_contig_12849 	 4 	 0
PiuraChilensis_v1_contig_1285 	 9 	 18
PiuraChilensis_v1_contig_12850 	 7 	 4
PiuraChilensis_v1_contig_12851 	 3 	 3
PiuraChilensis_v1_contig_12852 	 3 	 3
PiuraChilensis_v1_contig_12853 	 0 	 0
PiuraChilensis_v1_contig_12854 	 7 	 2
PiuraChilensis_v1_contig_12855 	 1 	 2
PiuraChilensis_v1_contig_12856 	 9 	 11
PiuraChilensis_v1_contig_12857 	 3 	 5
PiuraChilensis_v1_contig_12858 	 6 	 5
PiuraChilensis_v1_contig_12859 	 5 	 3
PiuraChilensis_v1_contig_1286 	 13 	 10
PiuraChilensis_v1_contig_12860 	 5 	 4
PiuraChilensis_v1_contig_12861 	 16 	 13
PiuraChilensis_v1_contig_12862 	 1 	 5
PiuraChilensis_v1_contig_12863 	 14 	 7
PiuraChilensis_v1_contig_12864 	 5 	 1
PiuraChilensis_v1_contig_12865 	 3 	 2
PiuraChilensis_v1_contig_12866 	 8 	 6
PiuraChilensis_v1_contig_12867 	 6 	 3
PiuraChilensis_v1_contig_12868 	 1 	 6
PiuraChilensis_v1_contig_12869 	 2 	 4
PiuraChilensis_v1_contig_1287 	 2 	 4
PiuraChilensis_v1_contig_12870 	 5 	 2
PiuraChilensis_v1_contig_12871 	 6 	 6
PiuraChilensis_v1_contig_12872 	 3 	 3
PiuraChilensis_v1_contig_12873 	 11 	 10
PiuraChilensis_v1_contig_12874 	 3 	 2
PiuraChilensis_v1_contig_12875 	 1 	 8
PiuraChilensis_v1_contig_12876 	 7 	 4
PiuraChilensis_v1_contig_12877 	 4 	 5
PiuraChilensis_v1_contig_12878 	 5 	 6
PiuraChilensis_v1_contig_12879 	 0 	 4
PiuraChilensis_v1_contig_1288 	 39 	 41
PiuraChilensis_v1_contig_12880 	 12 	 6
PiuraChilensis_v1_contig_12881 	 4 	 5
PiuraChilensis_v1_contig_12882 	 13 	 5
PiuraChilensis_v1_contig_12883 	 7 	 4
PiuraChilensis_v1_contig_12884 	 9 	 1
PiuraChilensis_v1_contig_12885 	 8 	 5
PiuraChilensis_v1_contig_12886 	 2 	 2
PiuraChilensis_v1_contig_12887 	 15 	 5
PiuraChilensis_v1_contig_12888 	 0 	 2
PiuraChilensis_v1_contig_12889 	 11 	 5
PiuraChilensis_v1_contig_1289 	 28 	 15
PiuraChilensis_v1_contig_12890 	 2 	 2
PiuraChilensis_v1_contig_12891 	 7 	 3
PiuraChilensis_v1_contig_12892 	 2 	 6
PiuraChilensis_v1_contig_12893 	 8 	 2
PiuraChilensis_v1_contig_12894 	 3 	 1
PiuraChilensis_v1_contig_12895 	 3 	 5
PiuraChilensis_v1_contig_12896 	 6 	 3
PiuraChilensis_v1_contig_12897 	 1 	 4
PiuraChilensis_v1_contig_12898 	 6 	 3
PiuraChilensis_v1_contig_12899 	 0 	 6
PiuraChilensis_v1_contig_129 	 32 	 89
PiuraChilensis_v1_contig_1290 	 7 	 7
PiuraChilensis_v1_contig_12900 	 5 	 3
PiuraChilensis_v1_contig_12901 	 9 	 3
PiuraChilensis_v1_contig_12902 	 1 	 5
PiuraChilensis_v1_contig_12903 	 9 	 14
PiuraChilensis_v1_contig_12904 	 3 	 5
PiuraChilensis_v1_contig_12905 	 5 	 9
PiuraChilensis_v1_contig_12906 	 3 	 1
PiuraChilensis_v1_contig_12907 	 4 	 4
PiuraChilensis_v1_contig_12908 	 15 	 5
PiuraChilensis_v1_contig_12909 	 1 	 4
PiuraChilensis_v1_contig_1291 	 368 	 377
PiuraChilensis_v1_contig_12910 	 1 	 11
PiuraChilensis_v1_contig_12911 	 20 	 5
PiuraChilensis_v1_contig_12912 	 1 	 4
PiuraChilensis_v1_contig_12913 	 10 	 4
PiuraChilensis_v1_contig_12914 	 6 	 2
PiuraChilensis_v1_contig_12915 	 14 	 2
PiuraChilensis_v1_contig_12916 	 5 	 7
PiuraChilensis_v1_contig_12917 	 9 	 13
PiuraChilensis_v1_contig_12918 	 1 	 1
PiuraChilensis_v1_contig_12919 	 0 	 3
PiuraChilensis_v1_contig_1292 	 4 	 3
PiuraChilensis_v1_contig_12920 	 4 	 2
PiuraChilensis_v1_contig_12921 	 2 	 2
PiuraChilensis_v1_contig_12922 	 2 	 6
PiuraChilensis_v1_contig_12923 	 40 	 3
PiuraChilensis_v1_contig_12924 	 3 	 4
PiuraChilensis_v1_contig_12925 	 7 	 5
PiuraChilensis_v1_contig_12926 	 3 	 7
PiuraChilensis_v1_contig_12927 	 3 	 11
PiuraChilensis_v1_contig_12928 	 20 	 12
PiuraChilensis_v1_contig_12929 	 3 	 2
PiuraChilensis_v1_contig_1293 	 77 	 232
PiuraChilensis_v1_contig_12930 	 2 	 5
PiuraChilensis_v1_contig_12931 	 0 	 4
PiuraChilensis_v1_contig_12932 	 1 	 1
PiuraChilensis_v1_contig_12933 	 8 	 6
PiuraChilensis_v1_contig_12934 	 3 	 5
PiuraChilensis_v1_contig_12935 	 3 	 4
PiuraChilensis_v1_contig_12936 	 2 	 2
PiuraChilensis_v1_contig_12937 	 15 	 7
PiuraChilensis_v1_contig_12938 	 1 	 5
PiuraChilensis_v1_contig_12939 	 7 	 4
PiuraChilensis_v1_contig_1294 	 552 	 490
PiuraChilensis_v1_contig_12940 	 5 	 3
PiuraChilensis_v1_contig_12941 	 5 	 1
PiuraChilensis_v1_contig_12942 	 1 	 6
PiuraChilensis_v1_contig_12943 	 1 	 5
PiuraChilensis_v1_contig_12944 	 4 	 6
PiuraChilensis_v1_contig_12945 	 9 	 1
PiuraChilensis_v1_contig_12946 	 3 	 3
PiuraChilensis_v1_contig_12947 	 5 	 2
PiuraChilensis_v1_contig_12948 	 8 	 8
PiuraChilensis_v1_contig_12949 	 2 	 1
PiuraChilensis_v1_contig_1295 	 9 	 15
PiuraChilensis_v1_contig_12950 	 6 	 7
PiuraChilensis_v1_contig_12951 	 9 	 2
PiuraChilensis_v1_contig_12952 	 17 	 5
PiuraChilensis_v1_contig_12953 	 3 	 6
PiuraChilensis_v1_contig_12954 	 13 	 3
PiuraChilensis_v1_contig_12955 	 0 	 5
PiuraChilensis_v1_contig_12956 	 9 	 7
PiuraChilensis_v1_contig_12957 	 5 	 8
PiuraChilensis_v1_contig_12958 	 4 	 0
PiuraChilensis_v1_contig_12959 	 3 	 3
PiuraChilensis_v1_contig_1296 	 73 	 49
PiuraChilensis_v1_contig_12960 	 1 	 6
PiuraChilensis_v1_contig_12961 	 8 	 5
PiuraChilensis_v1_contig_12962 	 3 	 4
PiuraChilensis_v1_contig_12963 	 12 	 12
PiuraChilensis_v1_contig_12964 	 1 	 7
PiuraChilensis_v1_contig_12965 	 0 	 3
PiuraChilensis_v1_contig_12966 	 3 	 10
PiuraChilensis_v1_contig_12967 	 4 	 5
PiuraChilensis_v1_contig_12968 	 13 	 2
PiuraChilensis_v1_contig_12969 	 4 	 2
PiuraChilensis_v1_contig_1297 	 7 	 3
PiuraChilensis_v1_contig_12970 	 3 	 4
PiuraChilensis_v1_contig_12971 	 2 	 2
PiuraChilensis_v1_contig_12972 	 2 	 3
PiuraChilensis_v1_contig_12973 	 8 	 5
PiuraChilensis_v1_contig_12974 	 0 	 5
PiuraChilensis_v1_contig_12975 	 3 	 3
PiuraChilensis_v1_contig_12976 	 26 	 5
PiuraChilensis_v1_contig_12977 	 6 	 5
PiuraChilensis_v1_contig_12978 	 11 	 8
PiuraChilensis_v1_contig_12979 	 6 	 4
PiuraChilensis_v1_contig_1298 	 37 	 27
PiuraChilensis_v1_contig_12980 	 3 	 2
PiuraChilensis_v1_contig_12981 	 7 	 9
PiuraChilensis_v1_contig_12982 	 3 	 6
PiuraChilensis_v1_contig_12983 	 4 	 0
PiuraChilensis_v1_contig_12984 	 5 	 10
PiuraChilensis_v1_contig_12985 	 3 	 4
PiuraChilensis_v1_contig_12986 	 10 	 9
PiuraChilensis_v1_contig_12987 	 3 	 5
PiuraChilensis_v1_contig_12988 	 0 	 3
PiuraChilensis_v1_contig_12989 	 1 	 3
PiuraChilensis_v1_contig_1299 	 1 	 0
PiuraChilensis_v1_contig_12990 	 4 	 4
PiuraChilensis_v1_contig_12991 	 5 	 2
PiuraChilensis_v1_contig_12992 	 1 	 5
PiuraChilensis_v1_contig_12993 	 6 	 1
PiuraChilensis_v1_contig_12994 	 3 	 3
PiuraChilensis_v1_contig_12995 	 1 	 4
PiuraChilensis_v1_contig_12996 	 0 	 3
PiuraChilensis_v1_contig_12997 	 4 	 2
PiuraChilensis_v1_contig_12998 	 4 	 1
PiuraChilensis_v1_contig_12999 	 7 	 6
PiuraChilensis_v1_contig_13 	 1869 	 7503
PiuraChilensis_v1_contig_130 	 116 	 107
PiuraChilensis_v1_contig_1300 	 187 	 167
PiuraChilensis_v1_contig_13000 	 9 	 7
PiuraChilensis_v1_contig_13001 	 4 	 3
PiuraChilensis_v1_contig_13002 	 9 	 6
PiuraChilensis_v1_contig_13003 	 9 	 2
PiuraChilensis_v1_contig_13004 	 3 	 1
PiuraChilensis_v1_contig_13005 	 8 	 1
PiuraChilensis_v1_contig_13006 	 1 	 4
PiuraChilensis_v1_contig_13007 	 0 	 2
PiuraChilensis_v1_contig_13008 	 2 	 4
PiuraChilensis_v1_contig_13009 	 0 	 4
PiuraChilensis_v1_contig_1301 	 4 	 4
PiuraChilensis_v1_contig_13010 	 2 	 2
PiuraChilensis_v1_contig_13011 	 13 	 6
PiuraChilensis_v1_contig_13012 	 3 	 5
PiuraChilensis_v1_contig_13013 	 2 	 5
PiuraChilensis_v1_contig_13014 	 2 	 5
PiuraChilensis_v1_contig_13015 	 2 	 7
PiuraChilensis_v1_contig_13016 	 13 	 0
PiuraChilensis_v1_contig_13017 	 16 	 4
PiuraChilensis_v1_contig_13018 	 1 	 0
PiuraChilensis_v1_contig_13019 	 1 	 3
PiuraChilensis_v1_contig_1302 	 24 	 20
PiuraChilensis_v1_contig_13020 	 11 	 7
PiuraChilensis_v1_contig_13021 	 1 	 1
PiuraChilensis_v1_contig_13022 	 6 	 10
PiuraChilensis_v1_contig_13023 	 1 	 3
PiuraChilensis_v1_contig_13024 	 9 	 8
PiuraChilensis_v1_contig_13025 	 0 	 3
PiuraChilensis_v1_contig_13026 	 2 	 3
PiuraChilensis_v1_contig_13027 	 2 	 4
PiuraChilensis_v1_contig_13028 	 0 	 2
PiuraChilensis_v1_contig_13029 	 2 	 5
PiuraChilensis_v1_contig_1303 	 171 	 199
PiuraChilensis_v1_contig_13030 	 3 	 2
PiuraChilensis_v1_contig_13031 	 11 	 2
PiuraChilensis_v1_contig_13032 	 2 	 0
PiuraChilensis_v1_contig_13033 	 1 	 6
PiuraChilensis_v1_contig_13034 	 3 	 5
PiuraChilensis_v1_contig_13035 	 0 	 3
PiuraChilensis_v1_contig_13036 	 2 	 3
PiuraChilensis_v1_contig_13037 	 7 	 12
PiuraChilensis_v1_contig_13038 	 2 	 4
PiuraChilensis_v1_contig_13039 	 25 	 12
PiuraChilensis_v1_contig_1304 	 59 	 76
PiuraChilensis_v1_contig_13040 	 9 	 2
PiuraChilensis_v1_contig_13041 	 0 	 1
PiuraChilensis_v1_contig_13042 	 5 	 2
PiuraChilensis_v1_contig_13043 	 11 	 5
PiuraChilensis_v1_contig_13044 	 4 	 6
PiuraChilensis_v1_contig_13045 	 4 	 2
PiuraChilensis_v1_contig_13046 	 3 	 3
PiuraChilensis_v1_contig_13047 	 1 	 4
PiuraChilensis_v1_contig_13048 	 11 	 10
PiuraChilensis_v1_contig_13049 	 4 	 3
PiuraChilensis_v1_contig_1305 	 4 	 6
PiuraChilensis_v1_contig_13050 	 7 	 6
PiuraChilensis_v1_contig_13051 	 1 	 2
PiuraChilensis_v1_contig_13052 	 0 	 4
PiuraChilensis_v1_contig_13053 	 3 	 2
PiuraChilensis_v1_contig_13054 	 3 	 2
PiuraChilensis_v1_contig_13055 	 3 	 7
PiuraChilensis_v1_contig_13056 	 7 	 3
PiuraChilensis_v1_contig_13057 	 5 	 8
PiuraChilensis_v1_contig_13058 	 0 	 1
PiuraChilensis_v1_contig_13059 	 1 	 5
PiuraChilensis_v1_contig_1306 	 27 	 24
PiuraChilensis_v1_contig_13060 	 3 	 1
PiuraChilensis_v1_contig_13061 	 5 	 3
PiuraChilensis_v1_contig_13062 	 7 	 3
PiuraChilensis_v1_contig_13063 	 2 	 2
PiuraChilensis_v1_contig_13064 	 4 	 0
PiuraChilensis_v1_contig_13065 	 3 	 3
PiuraChilensis_v1_contig_13066 	 3 	 4
PiuraChilensis_v1_contig_13067 	 1 	 3
PiuraChilensis_v1_contig_13068 	 6 	 1
PiuraChilensis_v1_contig_13069 	 10 	 8
PiuraChilensis_v1_contig_1307 	 73 	 69
PiuraChilensis_v1_contig_13070 	 2 	 7
PiuraChilensis_v1_contig_13071 	 5 	 2
PiuraChilensis_v1_contig_13072 	 5 	 0
PiuraChilensis_v1_contig_13073 	 6 	 4
PiuraChilensis_v1_contig_13074 	 1 	 2
PiuraChilensis_v1_contig_13075 	 30 	 3
PiuraChilensis_v1_contig_13076 	 2 	 2
PiuraChilensis_v1_contig_13077 	 2 	 5
PiuraChilensis_v1_contig_13078 	 14 	 3
PiuraChilensis_v1_contig_13079 	 0 	 10
PiuraChilensis_v1_contig_1308 	 9 	 5
PiuraChilensis_v1_contig_13080 	 1 	 3
PiuraChilensis_v1_contig_13081 	 3 	 2
PiuraChilensis_v1_contig_13082 	 2 	 3
PiuraChilensis_v1_contig_13083 	 1 	 6
PiuraChilensis_v1_contig_13084 	 3 	 1
PiuraChilensis_v1_contig_13085 	 3 	 3
PiuraChilensis_v1_contig_13086 	 4 	 10
PiuraChilensis_v1_contig_13087 	 4 	 5
PiuraChilensis_v1_contig_13088 	 0 	 6
PiuraChilensis_v1_contig_13089 	 11 	 1
PiuraChilensis_v1_contig_1309 	 125 	 108
PiuraChilensis_v1_contig_13090 	 2 	 3
PiuraChilensis_v1_contig_13091 	 10 	 4
PiuraChilensis_v1_contig_13092 	 3 	 3
PiuraChilensis_v1_contig_13093 	 3 	 4
PiuraChilensis_v1_contig_13094 	 1 	 6
PiuraChilensis_v1_contig_13095 	 9 	 1
PiuraChilensis_v1_contig_13096 	 4 	 3
