Feature 	 Val_totalreads 	 Coq_totalreads
PiuraChilensis_v1_contig_10107 	 6 	 8
PiuraChilensis_v1_contig_10108 	 0 	 0
PiuraChilensis_v1_contig_10109 	 9 	 5
PiuraChilensis_v1_contig_1011 	 8 	 2
PiuraChilensis_v1_contig_10110 	 12 	 15
PiuraChilensis_v1_contig_10111 	 3 	 5
PiuraChilensis_v1_contig_10112 	 23 	 11
PiuraChilensis_v1_contig_10113 	 2 	 1
PiuraChilensis_v1_contig_10114 	 18 	 11
PiuraChilensis_v1_contig_10115 	 8 	 6
PiuraChilensis_v1_contig_10116 	 0 	 6
PiuraChilensis_v1_contig_10117 	 0 	 4
PiuraChilensis_v1_contig_10118 	 6 	 3
PiuraChilensis_v1_contig_10119 	 0 	 16
PiuraChilensis_v1_contig_1012 	 4 	 6
PiuraChilensis_v1_contig_10120 	 1 	 5
PiuraChilensis_v1_contig_10121 	 15 	 11
PiuraChilensis_v1_contig_10122 	 7 	 10
PiuraChilensis_v1_contig_10123 	 1 	 5
PiuraChilensis_v1_contig_10124 	 4 	 2
PiuraChilensis_v1_contig_10125 	 0 	 2
PiuraChilensis_v1_contig_10126 	 5 	 6
PiuraChilensis_v1_contig_10127 	 4 	 13
PiuraChilensis_v1_contig_10128 	 9 	 18
PiuraChilensis_v1_contig_10129 	 1 	 1
PiuraChilensis_v1_contig_1013 	 65 	 143
PiuraChilensis_v1_contig_10130 	 6 	 12
PiuraChilensis_v1_contig_10131 	 22 	 24
PiuraChilensis_v1_contig_10132 	 5 	 7
PiuraChilensis_v1_contig_10133 	 10 	 6
PiuraChilensis_v1_contig_10134 	 2 	 2
PiuraChilensis_v1_contig_10135 	 2 	 5
PiuraChilensis_v1_contig_10136 	 19 	 15
PiuraChilensis_v1_contig_10137 	 1 	 4
PiuraChilensis_v1_contig_10138 	 12 	 12
PiuraChilensis_v1_contig_10139 	 4 	 4
PiuraChilensis_v1_contig_1014 	 45 	 97
PiuraChilensis_v1_contig_10140 	 21 	 16
PiuraChilensis_v1_contig_10141 	 3 	 4
PiuraChilensis_v1_contig_10142 	 5 	 4
PiuraChilensis_v1_contig_10143 	 3 	 3
PiuraChilensis_v1_contig_10144 	 4 	 0
PiuraChilensis_v1_contig_10145 	 2 	 7
PiuraChilensis_v1_contig_10146 	 5 	 3
PiuraChilensis_v1_contig_10147 	 10 	 11
PiuraChilensis_v1_contig_10148 	 2 	 7
PiuraChilensis_v1_contig_10149 	 13 	 9
PiuraChilensis_v1_contig_1015 	 189 	 272
PiuraChilensis_v1_contig_10150 	 10 	 4
PiuraChilensis_v1_contig_10151 	 0 	 1
PiuraChilensis_v1_contig_10152 	 5 	 5
PiuraChilensis_v1_contig_10153 	 16 	 20
PiuraChilensis_v1_contig_10154 	 10 	 9
PiuraChilensis_v1_contig_10155 	 6 	 5
PiuraChilensis_v1_contig_10156 	 0 	 3
PiuraChilensis_v1_contig_10157 	 1 	 8
PiuraChilensis_v1_contig_10158 	 4 	 12
PiuraChilensis_v1_contig_10159 	 0 	 1
PiuraChilensis_v1_contig_1016 	 10 	 8
PiuraChilensis_v1_contig_10160 	 7 	 5
PiuraChilensis_v1_contig_10161 	 1 	 4
PiuraChilensis_v1_contig_10162 	 8 	 8
PiuraChilensis_v1_contig_10163 	 38 	 26
PiuraChilensis_v1_contig_10164 	 4 	 4
PiuraChilensis_v1_contig_10165 	 16 	 12
PiuraChilensis_v1_contig_10166 	 11 	 15
PiuraChilensis_v1_contig_10167 	 17 	 20
PiuraChilensis_v1_contig_10168 	 16 	 11
PiuraChilensis_v1_contig_10169 	 3 	 7
PiuraChilensis_v1_contig_1017 	 2 	 2
PiuraChilensis_v1_contig_10170 	 4 	 1
PiuraChilensis_v1_contig_10171 	 1 	 4
PiuraChilensis_v1_contig_10172 	 2 	 2
PiuraChilensis_v1_contig_10173 	 7 	 4
PiuraChilensis_v1_contig_10174 	 3 	 3
PiuraChilensis_v1_contig_10175 	 18 	 19
PiuraChilensis_v1_contig_10176 	 31 	 0
PiuraChilensis_v1_contig_10177 	 0 	 5
PiuraChilensis_v1_contig_10178 	 7 	 4
PiuraChilensis_v1_contig_10179 	 13 	 23
PiuraChilensis_v1_contig_1018 	 16 	 19
PiuraChilensis_v1_contig_10180 	 9 	 6
PiuraChilensis_v1_contig_10181 	 4 	 6
PiuraChilensis_v1_contig_10182 	 1 	 4
PiuraChilensis_v1_contig_10183 	 14 	 32
PiuraChilensis_v1_contig_10184 	 9 	 6
PiuraChilensis_v1_contig_10185 	 23 	 24
PiuraChilensis_v1_contig_10186 	 6 	 8
PiuraChilensis_v1_contig_10187 	 3 	 3
PiuraChilensis_v1_contig_10188 	 10 	 9
PiuraChilensis_v1_contig_10189 	 25 	 21
PiuraChilensis_v1_contig_1019 	 7 	 5
PiuraChilensis_v1_contig_10190 	 6 	 4
PiuraChilensis_v1_contig_10191 	 36 	 35
PiuraChilensis_v1_contig_10192 	 12 	 8
PiuraChilensis_v1_contig_10193 	 2 	 0
PiuraChilensis_v1_contig_10194 	 9 	 3
PiuraChilensis_v1_contig_10195 	 18 	 13
PiuraChilensis_v1_contig_10196 	 13 	 11
PiuraChilensis_v1_contig_10197 	 0 	 6
PiuraChilensis_v1_contig_10198 	 7 	 7
PiuraChilensis_v1_contig_10199 	 1 	 1
PiuraChilensis_v1_contig_102 	 28 	 22
PiuraChilensis_v1_contig_1020 	 51 	 71
PiuraChilensis_v1_contig_10200 	 3 	 4
PiuraChilensis_v1_contig_10201 	 1 	 4
PiuraChilensis_v1_contig_10202 	 3 	 7
PiuraChilensis_v1_contig_10203 	 2 	 3
